DocType,Type,Name,InclusionTags,HeaderNodeID,Tier
req-micro,main,Micro tier requisition,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0001,micro
sol-micro,main,Micro tier solicitation,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0014,micro
awd-micro,main,Micro tier award,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0025,micro
req-std,main,Standard tier requisition,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0038,standard
sol-std,main,Standard tier solicitation,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0065,standard
awd-std,main,Standard tier award,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0094,standard
req-cplx,main,Complex tier requisition,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0116,complex
sol-cplx,main,Complex tier solicitation,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0139,complex
awd-cplx,main,Complex tier award,"[{""tagName"": ""DEI"", ""docTypeId"": ""dei""}, {""tagName"": ""HAZMAT"", ""docTypeId"": ""haz""}]",NL-0163,complex
dei,attachment,DEI clauses,,DEI-0000,
haz,attachment,HAZMAT clauses,,HAZ-0000,
