ParentNodeID,ChildNodeID,DocTypeID,Sequence
NL-0001,NL-0002,req-micro,1
NL-0002,NL-0003,req-micro,2
NL-0003,NL-0004,req-micro,3
NL-0004,NL-0005,req-micro,4
NL-0005,NL-0006,req-micro,5
NL-0006,NL-0007,req-micro,6
NL-0007,,req-micro,7
NL-0014,NL-0015,sol-micro,1
NL-0015,NL-0016,sol-micro,2
NL-0016,NL-0017,sol-micro,3
NL-0017,NL-0018,sol-micro,4
NL-0018,NL-0019,sol-micro,5
NL-0019,,sol-micro,6
NL-0025,NL-0026,awd-micro,1
NL-0026,NL-0027,awd-micro,2
NL-0027,NL-0028,awd-micro,3
NL-0028,NL-0029,awd-micro,4
NL-0029,NL-0030,awd-micro,5
NL-0030,NL-0031,awd-micro,6
NL-0031,,awd-micro,7
NL-0038,NL-0041,req-std,1
NL-0041,NL-0046,req-std,2
NL-0046,NL-0039,req-std,3
NL-0039,NL-0047,req-std,4
NL-0047,NL-0048,req-std,5
NL-0048,NL-0040,req-std,6
NL-0040,NL-0049,req-std,7
NL-0049,NL-0050,req-std,8
NL-0050,NL-0051,req-std,9
NL-0051,NL-0042,req-std,10
NL-0042,NL-0043,req-std,11
NL-0043,NL-0044,req-std,12
NL-0044,NL-0045,req-std,13
NL-0045,,req-std,14
NL-0065,NL-0066,sol-std,1
NL-0066,NL-0071,sol-std,2
NL-0071,NL-0074,sol-std,3
NL-0074,NL-0075,sol-std,4
NL-0075,NL-0076,sol-std,5
NL-0076,NL-0070,sol-std,6
NL-0070,,sol-std,7
NL-0094,NL-0095,awd-std,1
NL-0095,NL-0097,awd-std,2
NL-0097,NL-0098,awd-std,3
NL-0098,NL-0099,awd-std,4
NL-0099,NL-0102,awd-std,6
NL-0102,NL-0103,awd-std,7
NL-0103,NL-0104,awd-std,8
NL-0104,NL-0096,awd-std,9
NL-0096,,awd-std,10
NL-0116,NL-0117,req-cplx,1
NL-0117,NL-0120,req-cplx,2
NL-0120,NL-0121,req-cplx,3
NL-0121,NL-0122,req-cplx,4
NL-0122,NL-0123,req-cplx,5
NL-0123,NL-0124,req-cplx,6
NL-0124,NL-0125,req-cplx,7
NL-0125,NL-0126,req-cplx,8
NL-0126,NL-0127,req-cplx,9
NL-0127,NL-0118,req-cplx,10
NL-0118,NL-0119,req-cplx,11
NL-0119,,req-cplx,12
NL-0139,NL-0140,sol-cplx,1
NL-0140,NL-0141,sol-cplx,2
NL-0141,NL-0142,sol-cplx,3
NL-0142,NL-0145,sol-cplx,4
NL-1045,NL-0146,sol-cplx,5
NL-0146,NL-0147,sol-cplx,6
NL-0147,NL-0148,sol-cplx,7
NL-0148,NL-0149,sol-cplx,8
NL-0149,NL-0150,sol-cplx,9
NL-0150,,sol-cplx,10
NL-0163,NL-0164,awd-cplx,1
NL-0164,NL-0170,awd-cplx,2
NL-0170,NL-0171,awd-cplx,3
NL-0171,NL-0172,awd-cplx,4
NL-0172,NL-0173,awd-cplx,5
NL-0173,NL-0174,awd-cplx,6
NL-0174,NL-0175,awd-cplx,7
NL-0175,NL-0176,awd-cplx,8
NL-0176,NL-0177,awd-cplx,9
NL-0177,NL-0165,awd-cplx,10
NL-0165,NL-0166,awd-cplx,11
NL-0166,NL-0167,awd-cplx,12
NL-0167,NL-0168,awd-cplx,13
NL-0168,NL-0169,awd-cplx,14
NL-0169,,awd-cplx,15
DEI-0000,DEI-0002,dei,1
DEI-0002,DEI-0004,dei,2
DEI-0004,DEI-0006,dei,3
DEI-0006,DEI-0008,dei,4
DEI-0008,DEI-0010,dei,5
DEI-0010,DEI-0012,dei,6
DEI-0012,DEI-0014,dei,7
DEI-0014,DEI-0016,dei,8
DEI-0016,,dei,9
HAZ-0000,HAZ-0002,haz,1
HAZ-0002,HAZ-0004,haz,2
HAZ-0004,HAZ-0006,haz,3
HAZ-0006,HAZ-0008,haz,4
HAZ-0008,HAZ-0010,haz,5
HAZ-0010,HAZ-0012,haz,6
HAZ-0012,HAZ-0014,haz,7
HAZ-0014,HAZ-0016,haz,8
HAZ-0016,HAZ-0018,haz,9
HAZ-0018,HAZ-0020,haz,10
HAZ-0020,HAZ-0022,haz,11
HAZ-0022,,haz,12
